Date,BPI
1/1/2016,434.463
1/2/2016,433.586
1/3/2016,430.361
1/4/2016,433.493
1/5/2016,432.253
1/6/2016,429.464
1/7/2016,458.28
1/8/2016,453.37
1/9/2016,449.143
1/10/2016,448.964
1/11/2016,448.385
1/12/2016,432.884
1/13/2016,432.04
1/14/2016,429.729
1/15/2016,358.766
1/16/2016,387.665
1/17/2016,380.208
1/18/2016,385.844
1/19/2016,377.745
1/20/2016,418.742
1/21/2016,409.945
1/22/2016,381.761
1/23/2016,386.191
1/24/2016,402.61
1/25/2016,390.663
1/26/2016,391.43
1/27/2016,394.629
1/28/2016,379.384
1/29/2016,378.2
1/30/2016,376.937
1/31/2016,367.135
2/1/2016,371.248
2/2/2016,372.877
2/3/2016,368.933
2/4/2016,388.612
2/5/2016,385.338
2/6/2016,375.405
2/7/2016,375.284
2/8/2016,371.101
2/9/2016,373.321
2/10/2016,379.96
2/11/2016,377.72
2/12/2016,383.126
2/13/2016,392.182
2/14/2016,406.738
2/15/2016,399.485
2/16/2016,407.361
2/17/2016,415.561
2/18/2016,421.637
2/19/2016,420.334
2/20/2016,436.517
2/21/2016,438.985
2/22/2016,438.072
2/23/2016,419.981
2/24/2016,424.362
2/25/2016,423.517
2/26/2016,432.064
2/27/2016,432.138
2/28/2016,432.64
2/29/2016,436.608
3/1/2016,433.637
3/2/2016,421.598
3/3/2016,419.466
3/4/2016,407.982
3/5/2016,397.833
3/6/2016,404.55
3/7/2016,412.982
3/8/2016,411.758
3/9/2016,412.618
3/10/2016,416.16
3/11/2016,419.887
3/12/2016,410.132
3/13/2016,412.291
3/14/2016,415.091
3/15/2016,415.383
3/16/2016,416.253
3/17/2016,418.452
3/18/2016,408.036
3/19/2016,408.52
3/20/2016,410.751
3/21/2016,411.423
3/22/2016,416.926
3/23/2016,417.386
3/24/2016,414.341
3/25/2016,415.687
3/26/2016,416.73
3/27/2016,425.378
3/28/2016,422.756
3/29/2016,415.553
3/30/2016,412.69
3/31/2016,415.161
4/1/2016,417.009
4/2/2016,419.686
4/3/2016,419.385
4/4/2016,419.416
4/5/2016,422.653
4/6/2016,421.7
4/7/2016,421.204
4/8/2016,418.089
4/9/2016,418.419
4/10/2016,421.111
4/11/2016,422.99
4/12/2016,425.99
4/13/2016,424.401
4/14/2016,425.106
4/15/2016,429.98
4/16/2016,430.837
4/17/2016,427.862
4/18/2016,429.054
4/19/2016,436.105
4/20/2016,442.156
4/21/2016,451.102
4/22/2016,447.636
4/23/2016,452.584
4/24/2016,460.327
4/25/2016,462.51
4/26/2016,467.803
4/27/2016,445.012
4/28/2016,449.856
4/29/2016,456.35
4/30/2016,449.333
5/1/2016,453.042
5/2/2016,444.513
5/3/2016,450.274
5/4/2016,446.962
5/5/2016,448.527
5/6/2016,460.374
5/7/2016,459.465
5/8/2016,459.437
5/9/2016,461.491
5/10/2016,450.987
5/11/2016,452.113
5/12/2016,454.818
5/13/2016,455.735
5/14/2016,455.753
5/15/2016,457.848
5/16/2016,453.41
5/17/2016,452.746
5/18/2016,453.378
5/19/2016,436.729
5/20/2016,442.953
5/21/2016,443.135
5/22/2016,438.773
5/23/2016,443.734
5/24/2016,445.13
5/25/2016,449.234
5/26/2016,453.819
5/27/2016,473.467
5/28/2016,525.433
5/29/2016,524.083
5/30/2016,532.586
5/31/2016,531.797
6/1/2016,536.424
6/2/2016,538.145
6/3/2016,570.471
6/4/2016,573.45
6/5/2016,574.106
6/6/2016,585.531
6/7/2016,577.856
6/8/2016,583.105
6/9/2016,576.454
6/10/2016,579.131
6/11/2016,611.777
6/12/2016,675.343
6/13/2016,705.619
6/14/2016,685.989
6/15/2016,696.323
6/16/2016,768.242
6/17/2016,747.554
6/18/2016,755.684
6/19/2016,764.045
6/20/2016,727.949
6/21/2016,665.876
6/22/2016,602.887
6/23/2016,625.495
6/24/2016,665.162
6/25/2016,665.329
6/26/2016,630.246
6/27/2016,658.399
6/28/2016,646.304
6/29/2016,639.082
6/30/2016,672.485
7/1/2016,676.523
7/2/2016,703.686
7/3/2016,659.688
7/4/2016,681.63
7/5/2016,668.092
7/6/2016,676.113
7/7/2016,639.761
7/8/2016,664.743
7/9/2016,650.627
7/10/2016,649.962
7/11/2016,649.027
7/12/2016,664.839
7/13/2016,653.934
7/14/2016,659.636
7/15/2016,664.876
7/16/2016,663.541
7/17/2016,679.051
7/18/2016,673.594
7/19/2016,673.843
7/20/2016,666.18
7/21/2016,665.099
7/22/2016,650.822
7/23/2016,654.862
7/24/2016,661.05
7/25/2016,655.135
7/26/2016,651.077
7/27/2016,655.442
7/28/2016,655.627
7/29/2016,656.669
7/30/2016,654.976
7/31/2016,625.881
8/1/2016,607.374
8/2/2016,552.821
8/3/2016,565.2638
8/4/2016,578.3213
8/5/2016,574.9563
8/6/2016,588.4225
8/7/2016,592.78
8/8/2016,590.6225
8/9/2016,584.7588
8/10/2016,592.8925
8/11/2016,586.525
8/12/2016,586.0263
8/13/2016,585.0813
8/14/2016,571.4438
8/15/2016,567.2025
8/16/2016,576.2488
8/17/2016,571.745
8/18/2016,572.5025
8/19/2016,573.6638
8/20/2016,580.7025
8/21/2016,580.69
8/22/2016,584.7325
8/23/2016,581.2813
8/24/2016,577.995
8/25/2016,575.7338
8/26/2016,578.1563
8/27/2016,568.6663
8/28/2016,573.555
8/29/2016,572.3613
8/30/2016,575.9988
8/31/2016,572.3338
9/1/2016,571.6938
9/2/2016,574.1475
9/3/2016,598.3838
9/4/2016,608.9175
9/5/2016,606.0275
9/6/2016,611.07
9/7/2016,614.7875
9/8/2016,624.9488
9/9/2016,621.7963
9/10/2016,622.2125
9/11/2016,605.8088
9/12/2016,606.3075
9/13/2016,606.9213
9/14/2016,608.22
9/15/2016,605.21
9/16/2016,606.3338
9/17/2016,605.2938
9/18/2016,608.6988
9/19/2016,608.5275
9/20/2016,599.4738
9/21/2016,595.7988
9/22/2016,595.035
9/23/2016,601.7138
9/24/2016,601.3413
9/25/2016,599.1763
9/26/2016,606.8125
9/27/2016,604.7625
9/28/2016,603.5188
9/29/2016,605.0588
9/30/2016,608.4375
10/1/2016,613.9338
10/2/2016,610.2913
10/3/2016,612.3375
10/4/2016,609.375
10/5/2016,610.885
10/6/2016,610.9
10/7/2016,616.4888
10/8/2016,616.5963
10/9/2016,614.6238
10/10/2016,617.4225
10/11/2016,639.3738
10/12/2016,635.0813
10/13/2016,635.02
10/14/2016,638.3675
10/15/2016,637.3713
10/16/2016,639.8275
10/17/2016,636.92
10/18/2016,635.5088
10/19/2016,628.1538
10/20/2016,628.6225
10/21/2016,630.1538
10/22/2016,652.715
10/23/2016,649.245
10/24/2016,648.3988
10/25/2016,652.895
10/26/2016,674.3575
10/27/2016,686.52
10/28/2016,688.0963
10/29/2016,712.87
10/30/2016,696.3538
10/31/2016,697.3688
11/1/2016,729.2713
11/2/2016,742.465
11/3/2016,687.5075
11/4/2016,702.5375
11/5/2016,704.1638
11/6/2016,712.2363
11/7/2016,704.0188
11/8/2016,709.1525
