,text
3,0.1139
6,0.5173
8,-0.2168
11,-0.521
21,-0.1779
27,0.2263
29,0.0
32,-0.8853
38,-0.0749
40,0.3182
57,0.4095
61,0.8439
63,0.8718
64,0.8861
66,0.25
68,0.9457
74,0.2869
78,0.6887
86,0.9705
87,-0.9829
92,0.5328
99,-0.5362
101,0.9769
108,0.9442
114,0.9393
119,0.0
123,0.0
124,0.0
125,0.5514
130,0.8588
138,0.9726
141,0.6206
145,-0.2279
148,0.6322
149,0.4588
151,0.0387
152,0.1279
154,-0.6136
156,0.0
157,0.1067
158,-0.2023
160,-0.3381
161,0.0
162,0.5758
167,-0.7096
172,0.7768
175,0.0
180,0.699
181,0.8463
183,0.4291
190,0.5574
191,0.3094
192,0.8294
198,0.4935
200,-0.3736
206,0.9897
207,0.0
208,-0.1027
210,0.0
213,0.466
215,0.5174
226,0.0
233,0.7906
241,0.9981
245,-0.6633
248,0.4019
249,-0.9018
251,-0.9859
253,0.3612
257,0.4404
264,0.9224
266,0.0
268,0.9388
272,0.8434
274,0.0258
278,0.8303
283,-0.6486
284,0.0
286,0.4606
294,0.1002
296,-0.4404
297,0.4673
305,0.8625
312,0.1901
316,0.0
317,0.4767
318,0.9206
326,0.4149
330,0.0
331,0.4215
333,-0.212
334,-0.7096
335,0.4871
336,0.7752
352,0.5713
357,0.0
362,-0.756
367,0.4497
368,0.0
370,0.6981
372,0.0
374,0.0
376,-0.2507
383,-0.5242
384,0.4404
387,-0.4939
390,0.4404
396,0.6369
411,0.9724
416,0.0
417,0.9873
419,0.09
424,0.92
426,0.8762
428,0.0
429,0.0
432,0.997
437,0.0
438,0.9652
444,0.8912
446,0.7887
451,0.9926
458,0.9982
468,0.993
472,0.5023
481,0.8385
483,0.0
484,0.885
488,0.327
489,0.5483
491,-0.7645
492,-0.7096
494,0.9729
495,0.8767
507,0.466
516,-0.9598
517,0.9932
520,0.8674
521,0.0
525,-0.533
527,0.5423
531,-0.2206
535,0.9337
537,0.5788
544,0.6652
551,0.2529
552,0.9501
558,0.7553
564,0.9973
576,0.9128
579,0.9143
587,0.6072
592,0.9493
593,-0.8804
607,0.0
608,-0.5627
615,0.1901
618,0.8591
622,0.4404
627,0.8764
631,-0.1779
646,0.9381
651,0.9555
655,0.1901
656,-0.0572
660,-0.6462
668,0.9006
670,0.0
671,0.9195
674,0.652
675,0.0
681,0.9705
682,0.3049
683,0.1655
685,0.0
688,0.9759
691,0.0
692,0.7322
695,0.7269
696,-0.7096
699,0.8454
700,-0.3781
701,0.8282
702,-0.4098
706,0.9589
709,0.8105
713,0.8718
714,-0.9474
715,0.0
719,0.3774
725,0.9686
728,-0.7935
730,0.5994
731,0.897
739,-0.0941
752,0.9893
755,0.0
761,0.7149
766,-0.5423
768,0.4329
775,0.5719
780,-0.892
785,-0.593
786,0.7003
792,0.4576
798,0.2406
800,0.8213
801,0.1775
802,0.6199
806,0.34
809,0.2732
811,-0.1531
813,0.7394
814,0.2263
823,-0.4215
824,0.8402
829,0.7477
830,-0.0553
831,-0.34
837,0.0
839,-0.2265
845,-0.967
846,0.836
850,0.0
852,0.6073
858,0.9176
860,0.9388
861,0.6486
865,0.8176
867,-0.4118
874,0.9604
878,0.4588
881,0.0201
884,0.9376
887,-0.6476
888,0.9455
891,0.6145
895,0.4678
902,-0.7096
903,0.2382
905,0.9806
911,0.6198
912,0.9531
918,0.5473
924,0.8104
925,0.9839
935,-0.212
936,-0.5859
949,-0.4336
951,-0.8037
959,-0.296
970,-0.7931
985,0.2789
990,0.25
994,-0.6956
997,0.9457
998,0.5362
999,0.9198
1007,-0.212
1017,0.6124
1022,0.0
1025,0.4515
1029,0.8924
1030,0.7717
1031,0.863
1039,-0.8661
1041,-0.2584
1043,-0.8697
1049,0.4696
1051,0.4574
1055,-0.6486
1060,0.3182
1061,-0.1306
1064,0.8613
1066,0.765
1072,-0.3612
1077,-0.7096
1079,0.743
1081,-0.6366
1084,0.9294
1085,0.0258
1089,0.4098
1090,0.6808
1100,0.0
1106,0.0
1111,0.34
1112,0.9843
1117,0.4871
1120,0.0
1121,-0.9878
1128,0.0644
1129,-0.4019
1130,0.9563
1147,-0.4939
1151,-0.0631
1168,0.2584
1179,0.9546
1182,0.8126
1183,-0.0685
1189,-0.828
1193,0.8925
1195,0.0
1203,0.867
1208,-0.8644
1213,0.498
1214,0.5563
1220,0.0
1221,0.9632
1230,0.8555
1234,-0.5859
1243,0.4767
1245,0.9186
1258,0.6124
1262,0.0772
1266,0.0
1269,0.0
1271,0.9318
1273,0.1655
1280,-0.5205
1281,0.3865
1285,-0.7941
1288,0.0
1298,0.916
1299,0.8271
1305,0.4329
1307,0.9192
1308,0.0
1316,-0.7096
1318,-0.6892
1330,0.0
1333,-0.2278
1336,0.9115
1348,0.8402
1349,0.4588
1350,0.0
1353,0.0
1364,0.9905
1381,0.3094
1382,-0.5719
1396,0.0
1399,-0.9074
1408,0.0
1410,0.0
1420,0.9438
1430,0.6597
1433,0.0
1438,0.6956
1444,0.0431
1455,-0.7645
1457,0.1027
1459,0.4199
1461,0.4939
1471,0.6983
1472,-0.8672
1483,0.3724
1489,-0.5204
1490,0.0405
1493,-0.1926
1498,0.7402
1502,0.6705
1503,0.8042
1506,-0.296
1509,0.7845
1512,-0.1179
1513,-0.7096
1514,0.34
1517,-0.9781
1518,-0.3195
1524,-0.6767
1525,0.8851
1532,0.7597
1549,0.936
1550,0.9789
1554,0.7818
1560,0.0
1568,0.0
1572,0.9608
1582,0.7003
1583,0.8625
1584,0.8818
1587,0.0
1588,0.3612
1590,0.6597
1595,0.0
1596,0.0
1600,-0.8174
1602,-0.34
1617,-0.885
1619,0.3182
1623,0.9773
1628,0.9639
1633,0.765
1634,0.6124
1636,0.4329
1637,-0.1779
1646,-0.9153
1654,0.2389
1657,0.0
1658,-0.7096
1661,0.8555
1662,-0.5632
1663,0.9538
1665,-0.0387
1667,0.9894
1668,0.0
1669,-0.8294
1670,0.4939
1672,-0.1179
1673,-0.7423
1674,0.0
1675,-0.212
1676,0.0
1677,-0.4019
1680,-0.1027
1681,0.4404
1685,-0.631
1690,-0.7526
1691,0.7998
1698,0.7159
1702,0.9282
1707,0.2168
1715,-0.6652
1723,0.0
1725,0.4215
1735,0.9403
1736,0.9686
1737,0.8988
1740,0.3182
1741,0.6295
1748,0.9755
1753,0.0
1757,0.6329
1771,0.2732
1773,0.714
1775,-0.8345
1776,0.504
1777,0.7281
1778,-0.8345
1784,0.9697
1788,0.0
1798,0.755
1801,-0.7096
1802,0.6249
1806,0.7003
1807,-0.2023
1811,0.782
1815,-0.0258
1817,0.8674
1824,0.9914
1830,0.8635
1841,0.8316
1843,0.0
1847,0.6808
1849,0.6806
1850,0.8466
1854,0.0644
1864,0.9778
1869,0.9531
1871,-0.906
1873,0.0
1876,-0.1232
1879,0.9636
1880,0.5936
1881,0.3818
1893,0.9586
1895,0.5267
1901,-0.4832
1902,-0.4795
1916,-0.6817
1932,0.516
1934,0.9684
1942,0.3094
1943,-0.9447
1946,0.9807
1947,0.5676
1948,0.0
1953,-0.9938
1954,0.2755
1960,0.9183
1964,0.9891
1965,0.9585
1966,0.1585
1970,0.9061
1971,0.8152
1972,-0.0803
1973,0.9909
1975,-0.7096
1976,0.4788
1980,0.168
1983,-0.4404
1984,0.5501
1986,-0.2168
1994,-0.9163
1997,0.4854
1999,0.571
2002,0.4488
2003,0.9443
2004,0.3291
2005,0.9912
2007,0.9882
2008,0.2387
2011,0.0
2015,-0.4516
2021,0.0
2028,0.4404
2036,0.9664
2038,0.2263
2041,0.9932
2043,-0.3339
2045,0.3612
2050,0.8205
2059,0.8221
2060,0.9493
2061,0.5411
2069,0.5859
2072,-0.6908
2081,-0.4939
2085,0.8093
2090,0.128
2092,0.9699
2104,-0.0516
2105,-0.1531
2107,0.9312
2111,0.636
2112,0.0
2115,0.9776
2119,0.8553
2125,0.8111
2128,-0.7653
2129,-0.7184
2131,0.0
2135,0.9899
2138,0.9678
2140,0.5753
2145,0.3182
2146,-0.2732
2158,0.886
2162,-0.3514
2167,-0.8107
2175,0.9429
2179,0.9359
2181,0.0
2182,0.8906
2187,0.4247
2192,0.0
2193,-0.7096
2194,0.3958
2195,-0.8667
2197,0.3716
2199,0.0
2201,-0.0346
2202,0.0
2204,0.3182
2206,0.9863
2209,0.7686
2220,0.7476
2222,-0.9578
2233,-0.5514
2234,0.0258
2239,0.8577
2242,0.3182
2245,-0.2851
2250,-0.0498
2251,-0.3744
2254,0.9595
2277,0.4023
2278,-0.954
2294,0.0
2297,0.7767
2312,0.943
2314,-0.7027
2321,-0.823
2323,-0.6059
2339,0.7354
2341,0.8271
2344,0.8931
2346,0.6366
2348,0.9196
2351,-0.4765
2352,0.7003
2354,0.7059
2362,0.8361
2364,-0.2617
2366,0.8442
2378,0.5439
2390,0.4404
2391,0.0
2396,0.6705
2397,0.9356
2399,-0.4678
2402,0.0
2406,-0.2924
2410,-0.5334
2414,0.5916
2418,-0.938
2420,0.5719
2421,0.3182
2428,-0.3612
2433,0.9138
2439,0.9925
2440,0.3818
2443,0.0
2447,-0.3804
2455,0.9534
2458,-0.7096
2459,0.3049
2461,0.0
2466,0.7579
2480,0.9032
2486,0.8338
2490,-0.4696
2493,0.8299
2498,0.8244
2539,0.9681
2543,0.0
2544,-0.6124
2550,0.4215
2552,-0.8051
2557,0.985
2558,0.5905
2565,-0.7303
2569,0.8566
2573,0.9561
2574,0.0258
2576,-0.7964
2578,0.2732
2580,0.881
2582,0.8805
2584,0.7941
2591,-0.8555
2594,-0.1531
2597,0.3818
2599,0.9577
2600,-0.9717
2609,-0.9339
2610,0.0
2612,0.6124
2616,0.5843
2621,0.8051
2622,0.9774
2628,0.0
2636,0.9391
2644,0.9665
2647,0.0
2649,0.0
2650,0.0
2652,0.426
2656,0.2741
2657,0.6705
2658,-0.5007
2660,0.0
2668,0.6789
2671,0.5859
2675,-0.6775
2679,0.7003
2681,-0.5548
2682,0.8591
2687,0.7506
2689,0.0
2691,-0.5106
2692,0.7717
2695,0.8834
2697,-0.7096
2700,-0.9089
2703,-0.5095
2708,-0.6857
2709,-0.5403
2715,-0.7096
2721,0.3612
2722,-0.3094
2723,0.9445
2724,0.0
2732,0.9745
2734,0.9039
2740,-0.8684
2743,0.033
2744,0.9741
2747,0.4753
2749,0.3313
2750,0.7143
2751,0.5574
2754,-0.8196
2756,-0.8745
2758,0.9878
2760,0.4404
2761,-0.296
2767,0.9022
2770,-0.2751
2771,0.4404
2777,-0.25
2778,-0.7096
2780,-0.9349
2781,0.7964
2784,0.887
2785,-0.1027
2786,0.1343
2798,-0.1059
2799,-0.7269
2800,0.9645
2805,0.8834
2813,-0.1045
2824,-0.6488
2826,0.4939
2828,0.0
2829,0.2617
2837,0.4404
2839,0.975
2841,-0.8511
2843,-0.2312
2844,0.4924
2846,-0.6779
2849,0.0
2851,-0.8456
2855,-0.8851
2861,0.296
2862,0.0
2868,-0.3818
2875,-0.829
2877,0.0
2878,0.4939
2886,0.0
2895,0.7902
2900,0.5574
2906,0.916
2908,-0.4404
2910,0.6528
2914,0.3182
2915,0.3612
2920,-0.8173
2932,0.2263
2933,-0.3818
2934,-0.128
2939,-0.6147
2941,0.9969
2943,-0.8836
2945,0.6833
2950,0.923
2952,-0.3736
2954,0.5994
2956,0.9757
2962,-0.1007
2963,-0.3182
2964,-0.4633
2972,-0.3527
2975,-0.5994
2977,0.0
2980,-0.879
2981,-0.4349
2985,-0.2406
2990,0.0
2991,0.4284
2995,0.0
2998,0.4515
2999,0.0
3001,0.8364
3004,-0.2382
3005,0.9987
3010,0.6369
3016,-0.5994
3025,-0.9019
3027,-0.9492
3040,0.6204
3041,0.3565
3044,0.6747
3049,0.0
3052,0.0
3053,0.0
3063,0.4137
3072,-0.6522
3076,0.5867
3077,0.9838
3083,0.9019
3087,-0.4404
3088,-0.886
3089,-0.5267
3090,-0.0451
3094,-0.2732
3100,0.9114
3101,-0.128
3103,-0.5202
3105,-0.8722
3107,-0.819
3116,0.4137
